Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages**","All causes, by age (years), All Ages**, flag","All causes, by age (years), >=65","All causes, by age (years), >=65, flag","All causes, by age (years), 45-64","All causes, by age (years), 45-64, flag","All causes, by age (years), 25-44","All causes, by age (years), 25-44, flag","All causes, by age (years), 1-24","All causes, by age (years), 1-24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I Total,"P&I Total, flag",Location 1,Location 2
"Boston, MA",2016,29,116,,77,,32,,4,,3,,,-,11,,"Boston, MA (42.358894, -71.056742)",
"Omaha, NE",2016,29,85,,53,,26,,3,,1,,2,,5,,"Omaha, NE (46.07035, -93.666319)",
"Buffalo, NY",2016,29,82,,56,,16,,9,,1,,,-,5,,"Buffalo, NY (39.945422, -78.64671)",
"Pueblo, CO",2016,29,20,,17,,2,,1,,,-,,-,1,,"Pueblo, CO (28.151559, -82.351822)",
"Kansas City, KS",2016,29,23,,13,,7,,3,,,-,,-,1,,"Kansas City, KS (39.099792, -94.578559)",
"Baltimore, MD",2016,29,146,,75,,51,,13,,6,,1,,4,,"Baltimore, MD (39.290443, -76.612333)",
"Houston, TX",2016,29,375,,187,,125,,39,,15,,9,,7,,"Houston, TX (29.760803, -95.369506)",
"Little Rock, AR",2016,29,102,,60,,34,,6,,1,,1,,13,,"Little Rock, AR (34.748745, -92.275105)",
"Elizabeth, NJ",2016,29,17,,12,,3,,1,,,-,1,,,-,"Elizabeth, NJ (40.661927, -74.211653)",
"Atlanta, GA",2016,29,180,,112,,43,,18,,5,,2,,12,,"Atlanta, GA (33.748547, -84.391502)",
"Newark, NJ",2016,29,36,,25,,6,,,-,1,,,-,,-,"Newark, NJ (41.433057, -71.460182)",
"Milwaukee, WI",2016,29,83,,38,,28,,13,,3,,1,,2,,"Milwaukee, WI (43.041072, -87.909421)",
"Fort Worth, TX",2016,29,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX (32.739977, -97.340038)",
"Erie, PA",2016,29,52,,42,,7,,3,,,-,,-,4,,"Erie, PA (34.1647, -114.300301)",
"Kansas City, MO",2016,29,113,,71,,22,,11,,1,,5,,3,,"Kansas City, MO (39.099792, -94.578559)",
"Cincinnati, OH",2016,29,78,,41,,19,,12,,2,,4,,5,,"Cincinnati, OH (39.104427, -84.513808)",
"New Orleans, LA",2016,29,83,,43,,24,,11,,4,,1,,1,,"New Orleans, LA (29.950621, -90.074948)",
"Salt Lake City, UT",2016,29,,U,,U,,U,,U,,U,,U,,U,"Salt Lake City, UT (40.758478, -111.888142)",
"Memphis, TN",2016,29,207,,120,,39,,26,,12,,10,,17,,"Memphis, TN (35.143378, -90.052136)",
"Fall River, MA",2016,29,20,,13,,5,,2,,,-,,-,1,,"Fall River, MA (41.701025, -71.155389)",
"Paterson, NJ",2016,29,15,,7,,3,,4,,,-,1,,,-,"Paterson, NJ (40.916612, -74.172191)",
"Canton, OH",2016,29,44,,27,,10,,6,,,-,1,,4,,"Canton, OH (39.945208, -75.118833)",
"Santa Cruz, CA",2016,29,32,,22,,6,,2,,2,,,-,2,,"Santa Cruz, CA (32.71576, -117.163817)",
"Trenton, NJ",2016,29,,U,,U,,U,,U,,U,,U,,U,"Trenton, NJ (40.220572, -74.759709)",
"El Paso, TX",2016,29,109,,71,,29,,6,,2,,1,,1,,"El Paso, TX (31.76006, -106.492257)",
"Providence, RI",2016,29,64,,41,,14,,2,,1,,6,,3,,"Providence, RI (41.824461, -71.412747)",
"Wilmington, DE",2016,29,9,,5,,4,,,-,,-,,-,1,,"Wilmington, DE (39.744432, -75.5451)",
"Cleveland, OH",2016,29,232,,155,,60,,10,,3,,4,,6,,"Cleveland, OH (41.505546, -81.6915)",
"Dallas, TX",2016,29,197,,109,,47,,24,,13,,4,,11,,"Dallas, TX (37.691113, -122.472221)",
"Las Vegas, NV",2016,29,294,,198,,69,,17,,6,,4,,11,,"Las Vegas, NV (36.169202, -115.140597)",
"Grand Rapids, MI",2016,29,61,,43,,7,,4,,4,,3,,3,,"Grand Rapids, MI (47.925705, -97.036068)",
"Long Beach, CA",2016,29,51,,33,,12,,5,,1,,,-,5,,"Long Beach, CA (33.767168, -118.193723)",
"Savannah, GA",2016,29,57,,35,,16,,2,,1,,3,,3,,"Savannah, GA (40.115007, -111.654713)",
"Honolulu, HI",2016,29,90,,75,,9,,2,,2,,2,,4,,"Honolulu, HI (21.30992, -157.858158)",
"Jersey City, NJ",2016,29,17,,10,,5,,1,,,-,1,,,-,"Jersey City, NJ (40.717495, -74.044111)",
"Jacksonville, FL",2016,29,168,,105,,48,,10,,2,,3,,13,,"Jacksonville, FL (30.325968, -81.65676)",
"Des Moines, IA",2016,29,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA (41.588822, -93.620309)",
"Waterbury, CT",2016,29,27,,15,,6,,4,,1,,1,,3,,"Waterbury, CT (41.554261, -73.043069)",
"Berkeley, CA",2016,29,9,,7,,1,,,-,,-,1,,1,,"Berkeley, CA (40.692529, -73.990996)",
"Tacoma, WA",2016,29,142,,99,,32,,8,,1,,2,,17,,"Tacoma, WA (32.221878, -110.971225)",
"Springfield, MA",2016,29,61,,46,,12,,1,,2,,,-,,-,"Springfield, MA (39.79936, -89.643624)",
"Washington, D.C.",2016,29,95,,53,,37,,5,,,-,,-,,-,"Washington, D.C. (38.892062, -77.019912)",
"Toledo, OH",2016,29,104,,68,,29,,5,,2,,,-,4,,"Toledo, OH (41.655298, -83.535717)",
"Reading, PA",2016,29,28,,20,,6,,2,,,-,,-,,-,"Reading, PA (40.336919, -75.921965)",
"Evansville, IN",2016,29,43,,29,,9,,2,,3,,,-,,-,"Evansville, IN (37.975708, -87.569907)",
"San Diego, CA",2016,29,167,,115,,34,,7,,4,,7,,14,,"San Diego, CA (32.71576, -117.163817)",
"Boise, ID",2016,29,77,,57,,16,,,-,4,,,-,3,,"Boise, ID (43.597772, -83.884521)",
"South Bend, IN",2016,29,55,,46,,6,,2,,,-,1,,7,,"South Bend, IN (41.675032, -86.251962)",
"Yonkers, NY",2016,29,10,,8,,1,,1,,,-,,-,2,,"Yonkers, NY (40.932014, -73.896052)",
"San Jose, CA",2016,29,174,,131,,37,,1,,3,,2,,8,,"San Jose, CA (35.398134, -105.477067)",
"Minneapolis, MN",2016,29,62,,34,,15,,6,,2,,5,,5,,"Minneapolis, MN (44.977479, -93.264346)",
"Phoenix, AZ",2016,29,201,,111,,65,,18,,,-,7,,9,,"Phoenix, AZ (30.406931, -87.217578)",
"Somerville, MA",2016,29,2,,1,,1,,,-,,-,,-,,-,"Somerville, MA (42.389121, -71.097145)",
"Nashville, TN",2016,29,178,,104,,53,,13,,6,,2,,6,,"Nashville, TN (36.166687, -86.779932)",
"Ogden, UT",2016,29,39,,28,,8,,3,,,-,,-,2,,"Ogden, UT (41.222761, -111.970419)",
"Youngstown, OH",2016,29,64,,46,,15,,3,,,-,,-,3,,"Youngstown, OH (41.100083, -80.649387)",
"New Bedford, MA",2016,29,23,,16,,4,,2,,1,,,-,,-,"New Bedford, MA (41.63405, -70.92766)",
"Shreveport, LA",2016,29,68,,45,,18,,1,,3,,1,,5,,"Shreveport, LA (32.51424, -93.747757)",
"Syracuse, NY",2016,29,82,,61,,14,,5,,1,,1,,4,,"Syracuse, NY (43.047945, -76.147448)",
"Lynn, MA",2016,29,7,,4,,3,,,-,,-,,-,,-,"Lynn, MA (20.841375, -156.933118)",
"Tulsa, OK",2016,29,124,,82,,34,,7,,,-,1,,14,,"Tulsa, OK (61.096484, -160.967455)",
"Seattle, WA",2016,29,,-,,-,,-,,-,,-,,-,,-,"Seattle, WA (47.603229, -122.33028)",
"Schenectady, NY",2016,29,24,,19,,5,,,-,,-,,-,,-,"Schenectady, NY (42.814219, -73.944103)",
"Lowell, MA",2016,29,15,,13,,1,,1,,,-,,-,,-,"Lowell, MA (40.672798, -76.279404)",
"Fort Wayne, IN",2016,29,88,,65,,18,,4,,,-,1,,3,,"Fort Wayne, IN (41.331128, -73.987189)",
"Allentown, PA",2016,29,38,,24,,10,,1,,3,,,-,1,,"Allentown, PA (40.602753, -75.469759)",
"Charlotte, NC",2016,29,160,,104,,27,,17,,4,,8,,4,,"Charlotte, NC (35.222936, -80.840161)",
"Lincoln, NE",2016,29,46,,32,,9,,4,,,-,1,,1,,"Lincoln, NE (40.813599, -96.70261)",
"Chattanooga, TN",2016,29,101,,71,,20,,6,,3,,1,,5,,"Chattanooga, TN (35.045756, -85.308287)",
New England,2016,30,499,,328,,122,,32,,8,,9,,34,,,
Mid. Atlantic,2016,30,1603,,1129,,345,,83,,29,,17,,64,,,
E.N. Central,2016,30,1958,,1269,,456,,136,,54,,43,,97,,,
W.N. Central,2016,30,602,,369,,157,,43,,15,,15,,31,,,
S. Atlantic,2016,30,1126,,710,,289,,77,,28,,22,,59,,,
E.S. Central,2016,30,978,,645,,241,,63,,14,,15,,49,,,
W.S. Central,2016,30,1290,,855,,261,,111,,33,,30,,47,,,
Mountain,2016,30,1110,,745,,245,,77,,19,,21,,36,,,
Pacific,2016,30,1643,,1132,,368,,99,,27,,16,,112,,,
"New Haven, CT",2016,30,,U,,U,,U,,U,,U,,U,,U,"New Haven, CT (42.856701, -78.741699)",
"Kansas City, KS",2016,30,37,,25,,9,,3,,,-,,-,4,,"Kansas City, KS (39.099792, -94.578559)",
"Newark, NJ",2016,30,43,,31,,9,,2,,1,,,-,,-,"Newark, NJ (41.433057, -71.460182)",
"Worcester, MA",2016,30,66,,46,,15,,4,,1,,,-,11,,"Worcester, MA (42.262073, -71.802278)",
"Indianapolis, IN",2016,30,213,,131,,45,,19,,8,,10,,13,,"Indianapolis, IN (39.76845, -86.156212)",
"Albuquerque, NM",2016,30,114,,80,,27,,5,,2,,,-,6,,"Albuquerque, NM (35.084248, -106.649241)",
"Providence, RI",2016,30,74,,55,,14,,2,,2,,1,,3,,"Providence, RI (41.824461, -71.412747)",
"Charlotte, NC",2016,30,126,,78,,31,,6,,8,,3,,8,,"Charlotte, NC (35.222936, -80.840161)",
"San Jose, CA",2016,30,186,,133,,38,,9,,4,,2,,12,,"San Jose, CA (35.398134, -105.477067)",
"Schenectady, NY",2016,30,27,,19,,5,,2,,1,,,-,3,,"Schenectady, NY (42.814219, -73.944103)",
"Shreveport, LA",2016,30,45,,28,,13,,3,,1,,,-,3,,"Shreveport, LA (32.51424, -93.747757)",
"Santa Cruz, CA",2016,30,28,,19,,6,,2,,,-,1,,1,,"Santa Cruz, CA (32.71576, -117.163817)",
"St. Louis, MO",2016,30,73,,33,,22,,9,,4,,3,,4,,"St. Louis, MO (38.630276, -90.200309)",
"San Francisco, CA",2016,30,93,,59,,31,,2,,1,,,-,6,,"San Francisco, CA (37.78008, -122.420168)",
"Boston, MA",2016,30,120,,74,,29,,9,,2,,6,,12,,"Boston, MA (42.358894, -71.056742)",
"Chicago, IL",2016,30,255,,152,,69,,18,,10,,6,,17,,"Chicago, IL (41.775002, -87.696388)",
"Miami, FL",2016,30,106,,88,,10,,4,,4,,,-,7,,"Miami, FL (44.977479, -93.264346)",
"Lynn, MA",2016,30,8,,6,,1,,1,,,-,,-,1,,"Lynn, MA (20.841375, -156.933118)",
"Fort Worth, TX",2016,30,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX (32.739977, -97.340038)",
"Houston, TX",2016,30,404,,294,,63,,36,,7,,4,,8,,"Houston, TX (29.760803, -95.369506)",
"Dallas, TX",2016,30,200,,113,,55,,18,,9,,5,,10,,"Dallas, TX (37.691113, -122.472221)",
"Cambridge, MA",2016,30,9,,3,,5,,,-,1,,,-,,-,"Cambridge, MA (42.365248, -71.105015)",
"Bridgeport, CT",2016,30,33,,24,,7,,2,,,-,,-,1,,"Bridgeport, CT (41.179195, -73.189476)",
"Cincinnati, OH",2016,30,70,,44,,16,,3,,4,,3,,2,,"Cincinnati, OH (39.104427, -84.513808)",
"Savannah, GA",2016,30,45,,25,,16,,4,,,-,,-,4,,"Savannah, GA (40.115007, -111.654713)",
"Waterbury, CT",2016,30,30,,16,,10,,4,,,-,,-,2,,"Waterbury, CT (41.554261, -73.043069)",
"Chattanooga, TN",2016,30,87,,63,,22,,1,,1,,,-,2,,"Chattanooga, TN (35.045756, -85.308287)",
"Austin, TX",2016,30,100,,60,,26,,9,,2,,3,,5,,"Austin, TX (30.264979, -97.746598)",
"Atlanta, GA",2016,30,133,,78,,44,,9,,1,,1,,4,,"Atlanta, GA (33.748547, -84.391502)",
"Kansas City, MO",2016,30,95,,48,,35,,7,,2,,3,,6,,"Kansas City, MO (39.099792, -94.578559)",
"Baltimore, MD",2016,30,143,,71,,48,,17,,5,,2,,5,,"Baltimore, MD (39.290443, -76.612333)",
"Grand Rapids, MI",2016,30,54,,42,,6,,4,,1,,1,,4,,"Grand Rapids, MI (47.925705, -97.036068)",
"Pasadena, CA",2016,30,24,,18,,3,,,-,2,,1,,2,,"Pasadena, CA (34.14955, -118.141452)",
"Rochester, NY",2016,30,133,,105,,22,,2,,2,,2,,6,,"Rochester, NY (43.155708, -77.612547)",
"Fort Wayne, IN",2016,30,84,,52,,21,,8,,2,,1,,5,,"Fort Wayne, IN (41.331128, -73.987189)",
"Tampa, FL",2016,30,117,,63,,36,,11,,3,,4,,5,,"Tampa, FL (37.8606, -78.804199)",
"Colorado Springs, CO",2016,30,39,,26,,10,,,-,,-,3,,,-,"Colorado Springs, CO (38.835224, -104.819798)",
"Canton, OH",2016,30,25,,15,,9,,1,,,-,,-,3,,"Canton, OH (39.945208, -75.118833)",
"Cleveland, OH",2016,30,311,,212,,66,,24,,7,,2,,5,,"Cleveland, OH (41.505546, -81.6915)",
"Philadelphia, PA",2016,30,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA (39.951061, -75.16562)",
"Des Moines, IA",2016,30,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA (41.588822, -93.620309)",
"New York City, NY",2016,30,1020,,700,,233,,58,,19,,10,,36,,"New York City, NY (40.123164, -75.333718)",
"Seattle, WA",2016,30,,-,,-,,-,,-,,-,,-,,-,"Seattle, WA (47.603229, -122.33028)",
"Sacramento, CA",2016,30,202,,139,,41,,18,,2,,2,,9,,"Sacramento, CA (38.582087, -121.50012)",
"Akron, OH",2016,30,64,,38,,14,,9,,3,,,-,6,,"Akron, OH (41.084821, -81.515607)",
"Yonkers, NY",2016,30,16,,10,,4,,2,,,-,,-,1,,"Yonkers, NY (40.932014, -73.896052)",
"Las Vegas, NV",2016,30,251,,173,,52,,20,,3,,3,,12,,"Las Vegas, NV (36.169202, -115.140597)",
"Duluth, MN",2016,30,40,,31,,7,,1,,,-,1,,1,,"Duluth, MN (28.917512, -81.221278)",
"Jacksonville, FL",2016,30,171,,112,,43,,10,,2,,4,,9,,"Jacksonville, FL (30.325968, -81.65676)",
"Fall River, MA",2016,30,23,,11,,9,,3,,,-,,-,,-,"Fall River, MA (41.701025, -71.155389)",
"Little Rock, AR",2016,30,123,,73,,30,,12,,5,,3,,12,,"Little Rock, AR (34.748745, -92.275105)",
"El Paso, TX",2016,30,70,,49,,13,,5,,2,,1,,1,,"El Paso, TX (31.76006, -106.492257)",
"Fresno, CA",2016,30,140,,108,,23,,8,,,-,1,,12,,"Fresno, CA (36.731654, -119.785856)",
"Columbus, OH",2016,30,150,,98,,32,,10,,4,,6,,10,,"Columbus, OH (39.962649, -82.996216)",
"South Bend, IN",2016,30,46,,31,,8,,4,,,-,3,,1,,"South Bend, IN (41.675032, -86.251962)",
"Peoria, IL",2016,30,49,,37,,10,,1,,,-,1,,1,,"Peoria, IL (32.283586, -90.10038)",
"Trenton, NJ",2016,30,,U,,U,,U,,U,,U,,U,,U,"Trenton, NJ (40.220572, -74.759709)",
"San Antonio, TX",2016,30,,U,,U,,U,,U,,U,,U,,U,"San Antonio, TX (29.425173, -98.494599)",
"St. Petersburg, FL",2016,30,77,,54,,14,,2,,2,,5,,6,,"St. Petersburg, FL (27.772069, -82.638488)",
"Phoenix, AZ",2016,30,191,,105,,54,,23,,4,,2,,7,,"Phoenix, AZ (30.406931, -87.217578)",
"Elizabeth, NJ",2016,30,11,,6,,3,,2,,,-,,-,,-,"Elizabeth, NJ (40.661927, -74.211653)",
"Omaha, NE",2016,30,106,,71,,23,,4,,5,,3,,5,,"Omaha, NE (46.07035, -93.666319)",
"Camden, NJ",2016,30,9,,5,,4,,,-,,-,,-,,-,"Camden, NJ (39.945208, -75.118833)",
"Pueblo, CO",2016,30,16,,13,,2,,1,,,-,,-,,-,"Pueblo, CO (28.151559, -82.351822)",
"Knoxville, TN",2016,30,116,,76,,34,,4,,1,,1,,7,,"Knoxville, TN (35.962631, -83.916677)",
"Erie, PA",2016,30,53,,39,,11,,2,,1,,,-,3,,"Erie, PA (34.1647, -114.300301)",
"Evansville, IN",2016,30,48,,33,,13,,1,,1,,,-,2,,"Evansville, IN (37.975708, -87.569907)",
"Wilmington, DE",2016,30,13,,8,,3,,2,,,-,,-,1,,"Wilmington, DE (39.744432, -75.5451)",
"Washington, D.C.",2016,30,116,,72,,32,,8,,2,,2,,6,,"Washington, D.C. (38.892062, -77.019912)",
"Paterson, NJ",2016,30,8,,3,,5,,,-,,-,,-,,-,"Paterson, NJ (40.916612, -74.172191)",
"Reading, PA",2016,30,23,,18,,4,,1,,,-,,-,1,,"Reading, PA (40.336919, -75.921965)",
"Berkeley, CA",2016,30,16,,14,,2,,,-,,-,,-,1,,"Berkeley, CA (40.692529, -73.990996)",
"Gary, IN",2016,30,17,,11,,5,,1,,,-,,-,,-,"Gary, IN (42.375508, -87.924192)",
"Lincoln, NE",2016,30,44,,34,,6,,4,,,-,,-,1,,"Lincoln, NE (40.813599, -96.70261)",
"Rockford, IL",2016,30,59,,48,,7,,1,,1,,2,,2,,"Rockford, IL (42.266802, -89.088377)",
"Hartford, CT",2016,30,35,,23,,9,,2,,,-,1,,2,,"Hartford, CT (41.765775, -72.673356)",
"Lexington, KY",2016,30,130,,88,,34,,7,,,-,1,,,-,"Lexington, KY (34.052238, -118.243344)",
"Lowell, MA",2016,30,20,,12,,6,,1,,,-,1,,1,,"Lowell, MA (40.672798, -76.279404)",
"Memphis, TN",2016,30,201,,131,,51,,11,,5,,3,,14,,"Memphis, TN (35.143378, -90.052136)",
"Syracuse, NY",2016,30,57,,46,,9,,,-,2,,,-,7,,"Syracuse, NY (43.047945, -76.147448)",
"Wichita, KS",2016,30,107,,58,,34,,10,,1,,4,,6,,"Wichita, KS (39.960481, -75.605214)",
"Somerville, MA",2016,30,6,,4,,2,,,-,,-,,-,,-,"Somerville, MA (42.389121, -71.097145)",
"Portland, OR",2016,30,111,,81,,23,,7,,,-,,-,4,,"Portland, OR (45.516018, -122.681425)",
"Albany, NY",2016,30,49,,30,,12,,3,,1,,3,,1,,"Albany, NY (42.651242, -73.755418)",
"Tacoma, WA",2016,30,128,,91,,28,,6,,2,,1,,11,,"Tacoma, WA (32.221878, -110.971225)",
"Buffalo, NY",2016,30,81,,58,,12,,7,,2,,2,,5,,"Buffalo, NY (39.945422, -78.64671)",
"Ogden, UT",2016,30,35,,26,,6,,2,,1,,,-,1,,"Ogden, UT (41.222761, -111.970419)",
"Boise, ID",2016,30,71,,53,,16,,,-,,-,2,,3,,"Boise, ID (43.597772, -83.884521)",
"Spokane, WA",2016,30,69,,44,,20,,3,,2,,,-,1,,"Spokane, WA (47.658999, -117.425022)",
"San Diego, CA",2016,30,186,,115,,47,,13,,7,,3,,8,,"San Diego, CA (32.71576, -117.163817)",
"Minneapolis, MN",2016,30,52,,32,,14,,3,,2,,1,,3,,"Minneapolis, MN (44.977479, -93.264346)",
"Nashville, TN",2016,30,163,,104,,36,,16,,3,,4,,6,,"Nashville, TN (36.166687, -86.779932)",
"Corpus Christi, TX",2016,30,58,,44,,9,,4,,,-,1,,3,,"Corpus Christi, TX (27.796416, -97.404131)",
"Toledo, OH",2016,30,,U,,U,,U,,U,,U,,U,,U,"Toledo, OH (41.655298, -83.535717)",
"Springfield, MA",2016,30,50,,35,,11,,3,,1,,,-,,-,"Springfield, MA (39.79936, -89.643624)",
"Montgomery, AL",2016,30,49,,32,,10,,7,,,-,,-,2,,"Montgomery, AL (32.376547, -86.299651)",
"Tucson, AZ",2016,30,230,,163,,43,,16,,8,,,-,1,,"Tucson, AZ (35.167852, -103.726151)",
"Milwaukee, WI",2016,30,107,,63,,33,,8,,3,,,-,4,,"Milwaukee, WI (43.041072, -87.909421)",
"St. Paul, MN",2016,30,48,,37,,7,,2,,1,,,-,1,,"St. Paul, MN (44.943719, -93.094281)",
"Glendale, CA",2016,30,38,,28,,9,,1,,,-,,-,8,,"Glendale, CA (34.148138, -118.246437)",
"Dayton, OH",2016,30,136,,95,,28,,8,,2,,3,,9,,"Dayton, OH (39.760982, -84.192203)",
"Allentown, PA",2016,30,25,,20,,4,,1,,,-,,-,,-,"Allentown, PA (40.602753, -75.469759)",
"Lansing, MI",2016,30,58,,44,,8,,2,,3,,1,,1,,"Lansing, MI (42.733625, -84.553927)",
"Richmond, VA",2016,30,46,,32,,9,,3,,1,,1,,4,,"Richmond, VA (37.540759, -77.433932)",
"Mobile, AL",2016,30,72,,49,,15,,6,,1,,1,,2,,"Mobile, AL (34.661541, -77.695461)",
"New Bedford, MA",2016,30,25,,19,,4,,1,,1,,,-,1,,"New Bedford, MA (41.63405, -70.92766)",
"Honolulu, HI",2016,30,87,,65,,16,,5,,1,,,-,9,,"Honolulu, HI (21.30992, -157.858158)",
"Baton Rouge, LA",2016,30,97,,68,,17,,7,,,-,5,,,-,"Baton Rouge, LA (30.443319, -91.187488)",
"Scranton, PA",2016,30,21,,21,,,-,,-,,-,,-,,-,"Scranton, PA (41.409113, -75.662346)",
"New Orleans, LA",2016,30,63,,45,,12,,4,,1,,1,,,-,"New Orleans, LA (29.950621, -90.074948)",
"Los Angeles, CA",2016,30,287,,183,,72,,22,,5,,5,,27,,"Los Angeles, CA (34.052238, -118.243344)",
"Detroit, MI",2016,30,147,,75,,56,,10,,3,,3,,7,,"Detroit, MI (42.332916, -83.047853)",
"Youngstown, OH",2016,30,65,,48,,10,,4,,2,,1,,5,,"Youngstown, OH (41.100083, -80.649387)",
"Salt Lake City, UT",2016,30,146,,96,,33,,8,,,-,9,,5,,"Salt Lake City, UT (40.758478, -111.888142)",
"Tulsa, OK",2016,30,130,,81,,23,,13,,6,,7,,5,,"Tulsa, OK (61.096484, -160.967455)",
"Denver, CO",2016,30,17,,10,,2,,2,,1,,2,,1,,"Denver, CO (39.738453, -104.984853)",
"Utica, NY",2016,30,11,,9,,1,,1,,,-,,-,,-,"Utica, NY (39.800598, -104.997498)",
"Jersey City, NJ",2016,30,16,,9,,7,,,-,,-,,-,1,,"Jersey City, NJ (40.717495, -74.044111)",
"Long Beach, CA",2016,30,48,,35,,9,,3,,1,,,-,1,,"Long Beach, CA (33.767168, -118.193723)",
"Norfolk, VA",2016,30,33,,29,,3,,1,,,-,,-,,-,"Norfolk, VA (36.846164, -76.285913)",
"Birmingham, AL",2016,30,160,,102,,39,,11,,3,,5,,16,,"Birmingham, AL (33.522859, -86.807705)",
"Pittsburgh, PA_",2016,30,,U,,U,,U,,U,,U,,U,,U,"Pittsburgh, PA (40.442169, -79.994945)",
New England,2016,31,477,,287,,148,,31,,8,,3,,37,,,
Mid. Atlantic,2016,31,1601,,1165,,324,,78,,15,,18,,54,,,
E.N. Central,2016,31,2003,,1277,,497,,137,,56,,36,,89,,,
W.N. Central,2016,31,581,,371,,154,,28,,11,,13,,36,,,
S. Atlantic,2016,31,1120,,700,,296,,75,,31,,18,,52,,,
E.S. Central,2016,31,926,,589,,213,,79,,26,,19,,46,,,
W.S. Central,2016,31,1466,,1002,,271,,121,,44,,28,,63,,,
Mountain,2016,31,1301,,847,,332,,76,,26,,18,,68,,,
Pacific,2016,31,1612,,1119,,363,,77,,26,,27,,108,,,
Total_,2016,31,11087,,7357,,2598,,702,,243,,180,,553,,,
"Lincoln, NE",2016,31,43,,29,,12,,1,,,-,1,,3,,"Lincoln, NE (40.813599, -96.70261)",
"Youngstown, OH",2016,31,69,,52,,9,,4,,1,,3,,2,,"Youngstown, OH (41.100083, -80.649387)",
"Detroit, MI",2016,31,144,,75,,39,,22,,7,,1,,9,,"Detroit, MI (42.332916, -83.047853)",
"Providence, RI",2016,31,49,,25,,18,,5,,1,,,-,4,,"Providence, RI (41.824461, -71.412747)",
"New Haven, CT",2016,31,,U,,U,,U,,U,,U,,U,,U,"New Haven, CT (42.856701, -78.741699)",
"Lowell, MA",2016,31,18,,14,,4,,,-,,-,,-,2,,"Lowell, MA (40.672798, -76.279404)",
"Long Beach, CA",2016,31,59,,38,,13,,5,,2,,1,,6,,"Long Beach, CA (33.767168, -118.193723)",
"Newark, NJ",2016,31,43,,26,,13,,4,,,-,,-,1,,"Newark, NJ (41.433057, -71.460182)",
"Evansville, IN",2016,31,47,,37,,8,,1,,1,,,-,2,,"Evansville, IN (37.975708, -87.569907)",
"Denver, CO",2016,31,23,,13,,7,,1,,,-,2,,2,,"Denver, CO (39.738453, -104.984853)",
"Fort Worth, TX",2016,31,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX (32.739977, -97.340038)",
"Sacramento, CA",2016,31,180,,128,,44,,3,,3,,2,,12,,"Sacramento, CA (38.582087, -121.50012)",
"Wichita, KS",2016,31,63,,41,,17,,,-,4,,1,,5,,"Wichita, KS (39.960481, -75.605214)",
"San Diego, CA",2016,31,135,,96,,24,,7,,4,,4,,10,,"San Diego, CA (32.71576, -117.163817)",
"Kansas City, KS",2016,31,30,,21,,7,,1,,,-,1,,3,,"Kansas City, KS (39.099792, -94.578559)",
"Shreveport, LA",2016,31,66,,53,,9,,3,,,-,1,,3,,"Shreveport, LA (32.51424, -93.747757)",
"Houston, TX",2016,31,309,,224,,36,,31,,15,,3,,9,,"Houston, TX (29.760803, -95.369506)",
"Charlotte, NC",2016,31,142,,95,,32,,9,,2,,4,,7,,"Charlotte, NC (35.222936, -80.840161)",
"Fall River, MA",2016,31,22,,17,,2,,3,,,-,,-,2,,"Fall River, MA (41.701025, -71.155389)",
"Baton Rouge, LA",2016,31,93,,59,,23,,9,,1,,1,,2,,"Baton Rouge, LA (30.443319, -91.187488)",
"Canton, OH",2016,31,30,,20,,8,,1,,,-,1,,1,,"Canton, OH (39.945208, -75.118833)",
"New York City, NY",2016,31,981,,709,,197,,55,,7,,13,,27,,"New York City, NY (40.123164, -75.333718)",
"Honolulu, HI",2016,31,110,,82,,18,,6,,,-,4,,2,,"Honolulu, HI (21.30992, -157.858158)",
"Knoxville, TN",2016,31,128,,86,,31,,5,,2,,4,,8,,"Knoxville, TN (35.962631, -83.916677)",
"Trenton, NJ",2016,31,,U,,U,,U,,U,,U,,U,,U,"Trenton, NJ (40.220572, -74.759709)",
"Savannah, GA",2016,31,60,,39,,17,,2,,,-,2,,3,,"Savannah, GA (40.115007, -111.654713)",
"Camden, NJ",2016,31,9,,6,,2,,,-,,-,1,,,-,"Camden, NJ (39.945208, -75.118833)",
"Richmond, VA",2016,31,54,,38,,11,,5,,,-,,-,,-,"Richmond, VA (37.540759, -77.433932)",
"Fort Wayne, IN",2016,31,69,,48,,16,,1,,4,,,-,3,,"Fort Wayne, IN (41.331128, -73.987189)",
"Corpus Christi, TX",2016,31,61,,43,,8,,8,,,-,2,,5,,"Corpus Christi, TX (27.796416, -97.404131)",
"South Bend, IN",2016,31,,U,,U,,U,,U,,U,,U,,U,"South Bend, IN (41.675032, -86.251962)",
"Bridgeport, CT",2016,31,35,,19,,16,,,-,,-,,-,3,,"Bridgeport, CT (41.179195, -73.189476)",
"Rockford, IL",2016,31,47,,31,,13,,3,,,-,,-,3,,"Rockford, IL (42.266802, -89.088377)",
